office,town,candidate,party,votes,vote_percent
Treasurer,East Granby,Shawn Wooden,D,185,61.46%
Treasurer,East Granby,Dita Bhargava,D,116,38.54%
Attorney General,East Granby,William Tong,D,186,60.00%
Attorney General,East Granby,Paul R Doyle,D,32,10.32%
Attorney General,East Granby,Chris Mattei,D,92,29.68%
Governor,East Haddam,Ned Lamont,D,565,88.70%
Governor,East Haddam,Joe Ganim,D,72,11.30%
Lieutenant Governor,East Haddam,Susan Bysiewicz,D,415,65.46%
Lieutenant Governor,East Haddam,Eva Bermudez Zimmerman,D,219,34.54%
Treasurer,East Haddam,Shawn Wooden,D,333,53.28%
Treasurer,East Haddam,Dita Bhargava,D,292,46.72%
Attorney General,East Haddam,William Tong,D,413,65.87%
Attorney General,East Haddam,Paul R Doyle,D,71,11.32%
Attorney General,East Haddam,Chris Mattei,D,143,22.81%
Governor,East Hampton,Ned Lamont,D,595,84.04%
Governor,East Hampton,Joe Ganim,D,113,15.96%
Lieutenant Governor,East Hampton,Susan Bysiewicz,D,412,58.61%
Lieutenant Governor,East Hampton,Eva Bermudez Zimmerman,D,291,41.39%
Treasurer,East Hampton,Shawn Wooden,D,360,51.65%
Treasurer,East Hampton,Dita Bhargava,D,337,48.35%
Attorney General,East Hampton,William Tong,D,365,52.44%
Attorney General,East Hampton,Paul R Doyle,D,114,16.38%
Attorney General,East Hampton,Chris Mattei,D,217,31.18%
Governor,East Hartford,Ned Lamont,D,2145,78.92%
Governor,East Hartford,Joe Ganim,D,573,21.08%
Lieutenant Governor,East Hartford,Susan Bysiewicz,D,1597,57.86%
Lieutenant Governor,East Hartford,Eva Bermudez Zimmerman,D,1163,42.14%
Treasurer,East Hartford,Shawn Wooden,D,1659,63.10%
Treasurer,East Hartford,Dita Bhargava,D,970,36.90%
Attorney General,East Hartford,William Tong,D,1480,57.74%
Attorney General,East Hartford,Paul R Doyle,D,521,20.33%
Attorney General,East Hartford,Chris Mattei,D,562,21.93%
Governor,East Haven,Ned Lamont,D,766,67.49%
Governor,East Haven,Joe Ganim,D,369,32.51%
Lieutenant Governor,East Haven,Susan Bysiewicz,D,723,65.73%
Lieutenant Governor,East Haven,Eva Bermudez Zimmerman,D,377,34.27%
State Senator 34,East Haven,Aili McKeen,D,549,50.46%
State Senator 34,East Haven,Josh Balter,D,539,49.54%
Treasurer,East Haven,Shawn Wooden,D,592,55.85%
Treasurer,East Haven,Dita Bhargava,D,468,44.15%
Attorney General,East Haven,William Tong,D,581,53.06%
Attorney General,East Haven,Paul R Doyle,D,157,14.34%
Attorney General,East Haven,Chris Mattei,D,357,32.60%
Governor,East Lyme,Ned Lamont,D,1100,89.36%
Governor,East Lyme,Joe Ganim,D,131,10.64%
Lieutenant Governor,East Lyme,Susan Bysiewicz,D,842,69.47%
Lieutenant Governor,East Lyme,Eva Bermudez Zimmerman,D,370,30.53%
Treasurer,East Lyme,Shawn Wooden,D,640,53.56%
Treasurer,East Lyme,Dita Bhargava,D,555,46.44%
Attorney General,East Lyme,William Tong,D,757,63.03%
Attorney General,East Lyme,Paul R Doyle,D,140,11.66%
Attorney General,East Lyme,Chris Mattei,D,304,25.31%
Governor,Easton,Ned Lamont,D,394,85.84%
Governor,Easton,Joe Ganim,D,65,14.16%
Lieutenant Governor,Easton,Susan Bysiewicz,D,294,66.52%
Lieutenant Governor,Easton,Eva Bermudez Zimmerman,D,148,33.48%
Treasurer,Easton,Shawn Wooden,D,205,47.24%
Treasurer,Easton,Dita Bhargava,D,229,52.76%
Attorney General,Easton,William Tong,D,277,63.10%
Attorney General,Easton,Paul R Doyle,D,39,8.88%
Attorney General,Easton,Chris Mattei,D,123,28.02%
Governor,East Windsor,Ned Lamont,D,373,81.09%
Governor,East Windsor,Joe Ganim,D,87,18.91%
Lieutenant Governor,East Windsor,Susan Bysiewicz,D,308,66.81%
Lieutenant Governor,East Windsor,Eva Bermudez Zimmerman,D,153,33.19%
Treasurer,East Windsor,Shawn Wooden,D,271,59.56%
Treasurer,East Windsor,Dita Bhargava,D,184,40.44%
Attorney General,East Windsor,William Tong,D,273,59.74%
Attorney General,East Windsor,Paul R Doyle,D,52,11.38%
Attorney General,East Windsor,Chris Mattei,D,132,28.88%
Governor,Ellington,Ned Lamont,D,584,88.48%
Governor,Ellington,Joe Ganim,D,76,11.52%
Lieutenant Governor,Ellington,Susan Bysiewicz,D,430,65.35%
Lieutenant Governor,Ellington,Eva Bermudez Zimmerman,D,228,34.65%
Treasurer,Ellington,Shawn Wooden,D,375,57.52%
Treasurer,Ellington,Dita Bhargava,D,277,42.48%
Attorney General,Ellington,William Tong,D,406,61.80%
Attorney General,Ellington,Paul R Doyle,D,80,12.18%
Attorney General,Ellington,Chris Mattei,D,171,26.03%
Governor,Enfield,Ned Lamont,D,1375,84.88%
Governor,Enfield,Joe Ganim,D,245,15.12%
Lieutenant Governor,Enfield,Susan Bysiewicz,D,1157,70.98%
Lieutenant Governor,Enfield,Eva Bermudez Zimmerman,D,473,29.02%
Treasurer,Enfield,Shawn Wooden,D,905,56.67%
Treasurer,Enfield,Dita Bhargava,D,692,43.33%
Attorney General,Enfield,William Tong,D,927,57.01%
Attorney General,Enfield,Paul R Doyle,D,194,11.93%
Attorney General,Enfield,Chris Mattei,D,505,31.06%
Governor,Essex,Ned Lamont,D,682,93.17%
Governor,Essex,Joe Ganim,D,50,6.83%
Lieutenant Governor,Essex,Susan Bysiewicz,D,503,70.45%
Lieutenant Governor,Essex,Eva Bermudez Zimmerman,D,211,29.55%
Treasurer,Essex,Shawn Wooden,D,412,59.20%
Treasurer,Essex,Dita Bhargava,D,284,40.80%
Attorney General,Essex,William Tong,D,489,68.97%
Attorney General,Essex,Paul R Doyle,D,60,8.46%
Attorney General,Essex,Chris Mattei,D,160,22.57%
Governor,Fairfield,Ned Lamont,D,3261,90.61%
Governor,Fairfield,Joe Ganim,D,338,9.39%
Lieutenant Governor,Fairfield,Susan Bysiewicz,D,2476,70.10%
Lieutenant Governor,Fairfield,Eva Bermudez Zimmerman,D,1056,29.90%
Treasurer,Fairfield,Shawn Wooden,D,1927,55.60%
Treasurer,Fairfield,Dita Bhargava,D,1539,44.40%
Attorney General,Fairfield,William Tong,D,2335,66.83%
Attorney General,Fairfield,Paul R Doyle,D,338,9.67%
Attorney General,Fairfield,Chris Mattei,D,821,23.50%
Governor,Farmington,Ned Lamont,D,1626,90.48%
Governor,Farmington,Joe Ganim,D,171,9.52%
Lieutenant Governor,Farmington,Susan Bysiewicz,D,1117,62.79%
Lieutenant Governor,Farmington,Eva Bermudez Zimmerman,D,662,37.21%
Representative in Congress 05,Farmington,Mary Messina Glassman,D,930,51.84%
Representative in Congress 05,Farmington,Jahana Hayes,D,864,48.16%
Treasurer,Farmington,Shawn Wooden,D,993,57.33%
Treasurer,Farmington,Dita Bhargava,D,739,42.67%
Attorney General,Farmington,William Tong,D,1018,57.61%
Attorney General,Farmington,Paul R Doyle,D,255,14.43%
Attorney General,Farmington,Chris Mattei,D,494,27.96%
Governor,Franklin,Ned Lamont,D,83,84.69%
Governor,Franklin,Joe Ganim,D,15,15.31%
Lieutenant Governor,Franklin,Susan Bysiewicz,D,75,75.76%
Lieutenant Governor,Franklin,Eva Bermudez Zimmerman,D,24,24.24%
Treasurer,Franklin,Shawn Wooden,D,51,51.52%
Treasurer,Franklin,Dita Bhargava,D,48,48.48%
Attorney General,Franklin,William Tong,D,59,59.60%
Attorney General,Franklin,Paul R Doyle,D,10,10.10%
Attorney General,Franklin,Chris Mattei,D,30,30.30%
Governor,Glastonbury,Ned Lamont,D,2289,89.98%
Governor,Glastonbury,Joe Ganim,D,255,10.02%
Lieutenant Governor,Glastonbury,Susan Bysiewicz,D,1545,60.99%
Lieutenant Governor,Glastonbury,Eva Bermudez Zimmerman,D,988,39.01%
Treasurer,Glastonbury,Shawn Wooden,D,1340,54.65%
Treasurer,Glastonbury,Dita Bhargava,D,1112,45.35%
Attorney General,Glastonbury,William Tong,D,1297,51.96%
Attorney General,Glastonbury,Paul R Doyle,D,384,15.38%
Attorney General,Glastonbury,Chris Mattei,D,815,32.65%
Governor,Goshen,Ned Lamont,D,205,88.36%
Governor,Goshen,Joe Ganim,D,27,11.64%
Lieutenant Governor,Goshen,Susan Bysiewicz,D,138,60.53%
Lieutenant Governor,Goshen,Eva Bermudez Zimmerman,D,90,39.47%
Representative in Congress 05,Goshen,Mary Messina Glassman,D,54,23.68%
Representative in Congress 05,Goshen,Jahana Hayes,D,174,76.32%
Treasurer,Goshen,Shawn Wooden,D,107,50.23%
Treasurer,Goshen,Dita Bhargava,D,106,49.77%
Attorney General,Goshen,William Tong,D,119,55.09%
Attorney General,Goshen,Paul R Doyle,D,32,14.81%
Attorney General,Goshen,Chris Mattei,D,65,30.09%
Governor,Granby,Ned Lamont,D,699,90.66%
Governor,Granby,Joe Ganim,D,72,9.34%
Lieutenant Governor,Granby,Susan Bysiewicz,D,436,56.84%
Lieutenant Governor,Granby,Eva Bermudez Zimmerman,D,331,43.16%
Treasurer,Granby,Shawn Wooden,D,399,54.36%
Treasurer,Granby,Dita Bhargava,D,335,45.64%
Attorney General,Granby,William Tong,D,392,52.34%
Attorney General,Granby,Paul R Doyle,D,71,9.48%
Attorney General,Granby,Chris Mattei,D,286,38.18%
Governor,Greenwich,Ned Lamont,D,2516,93.29%
Governor,Greenwich,Joe Ganim,D,181,6.71%
Lieutenant Governor,Greenwich,Susan Bysiewicz,D,1936,74.12%
Lieutenant Governor,Greenwich,Eva Bermudez Zimmerman,D,676,25.88%
Treasurer,Greenwich,Shawn Wooden,D,1169,44.91%
Treasurer,Greenwich,Dita Bhargava,D,1434,55.09%
Attorney General,Greenwich,William Tong,D,1748,67.26%
Attorney General,Greenwich,Paul R Doyle,D,228,8.77%
Attorney General,Greenwich,Chris Mattei,D,623,23.97%
Registrar of Voters,Greenwich,Mary Hegarty,D,2269,85.98%
Registrar of Voters,Greenwich,Joseph S Huley,D,370,14.02%
Governor,Griswold,Ned Lamont,D,475,86.05%
Governor,Griswold,Joe Ganim,D,77,13.95%
Lieutenant Governor,Griswold,Susan Bysiewicz,D,404,73.19%
Lieutenant Governor,Griswold,Eva Bermudez Zimmerman,D,148,26.81%
Treasurer,Griswold,Shawn Wooden,D,319,59.74%
Treasurer,Griswold,Dita Bhargava,D,215,40.26%
Attorney General,Griswold,William Tong,D,311,57.59%
Attorney General,Griswold,Paul R Doyle,D,65,12.04%
Attorney General,Griswold,Chris Mattei,D,164,30.37%
Governor,Groton,Ned Lamont,D,1467,85.04%
Governor,Groton,Joe Ganim,D,258,14.96%
Lieutenant Governor,Groton,Susan Bysiewicz,D,1162,67.64%
Lieutenant Governor,Groton,Eva Bermudez Zimmerman,D,556,32.36%
Treasurer,Groton,Shawn Wooden,D,938,55.67%
Treasurer,Groton,Dita Bhargava,D,747,44.33%
Attorney General,Groton,William Tong,D,1105,65.00%
Attorney General,Groton,Paul R Doyle,D,179,10.53%
Attorney General,Groton,Chris Mattei,D,416,24.47%
Governor,Guilford,Ned Lamont,D,1954,90.63%
Governor,Guilford,Joe Ganim,D,202,9.37%
Lieutenant Governor,Guilford,Susan Bysiewicz,D,1429,66.90%
Lieutenant Governor,Guilford,Eva Bermudez Zimmerman,D,707,33.10%
Treasurer,Guilford,Shawn Wooden,D,1177,57.11%
Treasurer,Guilford,Dita Bhargava,D,884,42.89%
Attorney General,Guilford,William Tong,D,1111,52.48%
Attorney General,Guilford,Paul R Doyle,D,156,7.37%
Attorney General,Guilford,Chris Mattei,D,850,40.15%
Governor,Haddam,Ned Lamont,D,572,88.14%
Governor,Haddam,Joe Ganim,D,77,11.86%
Lieutenant Governor,Haddam,Susan Bysiewicz,D,394,61.37%
Lieutenant Governor,Haddam,Eva Bermudez Zimmerman,D,248,38.63%
Treasurer,Haddam,Shawn Wooden,D,329,52.31%
Treasurer,Haddam,Dita Bhargava,D,300,47.69%
Attorney General,Haddam,William Tong,D,387,60.94%
Attorney General,Haddam,Paul R Doyle,D,90,14.17%
Attorney General,Haddam,Chris Mattei,D,158,24.88%
Governor,Hamden,Ned Lamont,D,4995,78.33%
Governor,Hamden,Joe Ganim,D,1382,21.67%
Lieutenant Governor,Hamden,Susan Bysiewicz,D,3860,61.17%
Lieutenant Governor,Hamden,Eva Bermudez Zimmerman,D,2450,38.83%
State Senator 17,Hamden,Jorge Cabrera,D,956,37.94%
State Senator 17,Hamden,Sean Grace,D,801,31.79%
State Senator 17,Hamden,Valerie Horsley,D,763,30.28%
Treasurer,Hamden,Shawn Wooden,D,3774,60.95%
Treasurer,Hamden,Dita Bhargava,D,2418,39.05%
Attorney General,Hamden,William Tong,D,3303,52.43%
Attorney General,Hamden,Paul R Doyle,D,680,10.79%
Attorney General,Hamden,Chris Mattei,D,2317,36.78%
Governor,Hampton,Ned Lamont,D,154,83.70%
Governor,Hampton,Joe Ganim,D,30,16.30%
Lieutenant Governor,Hampton,Susan Bysiewicz,D,122,65.59%
Lieutenant Governor,Hampton,Eva Bermudez Zimmerman,D,64,34.41%
Treasurer,Hampton,Shawn Wooden,D,105,57.69%
Treasurer,Hampton,Dita Bhargava,D,77,42.31%
Attorney General,Hampton,William Tong,D,124,69.66%
Attorney General,Hampton,Paul R Doyle,D,20,11.24%
Attorney General,Hampton,Chris Mattei,D,34,19.10%
Governor,Hartford,Ned Lamont,D,4435,76.52%
Governor,Hartford,Joe Ganim,D,1361,23.48%
Lieutenant Governor,Hartford,Susan Bysiewicz,D,2985,50.99%
Lieutenant Governor,Hartford,Eva Bermudez Zimmerman,D,2869,49.01%
State Representative 03,Hartford,Minnie Gonzalez,D,847,65.15%
State Representative 03,Hartford,Gannon R Long,D,453,34.85%
State Representative 05,Hartford,Lawrence O Jaggon,D,93,16.85%
State Representative 05,Hartford,Brandon McGee,D,459,83.15%
Treasurer,Hartford,Shawn Wooden,D,3917,69.02%
Treasurer,Hartford,Dita Bhargava,D,1758,30.98%
Attorney General,Hartford,William Tong,D,3411,61.61%
Attorney General,Hartford,Paul R Doyle,D,1055,19.06%
Attorney General,Hartford,Chris Mattei,D,1070,19.33%
Governor,Hartland,Ned Lamont,D,96,93.20%
Governor,Hartland,Joe Ganim,D,7,6.80%
Lieutenant Governor,Hartland,Susan Bysiewicz,D,62,59.62%
Lieutenant Governor,Hartland,Eva Bermudez Zimmerman,D,42,40.38%
Treasurer,Hartland,Shawn Wooden,D,49,49.49%
Treasurer,Hartland,Dita Bhargava,D,50,50.51%
Attorney General,Hartland,William Tong,D,63,63.64%
Attorney General,Hartland,Paul R Doyle,D,6,6.06%
Attorney General,Hartland,Chris Mattei,D,30,30.30%
Governor,Harwinton,Ned Lamont,D,264,85.16%
Governor,Harwinton,Joe Ganim,D,46,14.84%
Lieutenant Governor,Harwinton,Susan Bysiewicz,D,200,64.52%
Lieutenant Governor,Harwinton,Eva Bermudez Zimmerman,D,110,35.48%
Representative in Congress 05,Harwinton,Mary Messina Glassman,D,150,48.54%
Representative in Congress 05,Harwinton,Jahana Hayes,D,159,51.46%
Treasurer,Harwinton,Shawn Wooden,D,148,50.00%
Treasurer,Harwinton,Dita Bhargava,D,148,50.00%
Attorney General,Harwinton,William Tong,D,179,59.27%
Attorney General,Harwinton,Paul R Doyle,D,44,14.57%
Attorney General,Harwinton,Chris Mattei,D,79,26.16%
Governor,Hebron,Ned Lamont,D,524,88.96%
Governor,Hebron,Joe Ganim,D,65,11.04%
Lieutenant Governor,Hebron,Susan Bysiewicz,D,397,67.06%
Lieutenant Governor,Hebron,Eva Bermudez Zimmerman,D,195,32.94%
Treasurer,Hebron,Shawn Wooden,D,335,58.57%
Treasurer,Hebron,Dita Bhargava,D,237,41.43%
Attorney General,Hebron,William Tong,D,315,53.66%
Attorney General,Hebron,Paul R Doyle,D,94,16.01%
Attorney General,Hebron,Chris Mattei,D,178,30.32%
Governor,Kent,Ned Lamont,D,333,88.33%
Governor,Kent,Joe Ganim,D,44,11.67%
Lieutenant Governor,Kent,Susan Bysiewicz,D,265,68.30%
Lieutenant Governor,Kent,Eva Bermudez Zimmerman,D,123,31.70%
Representative in Congress 05,Kent,Mary Messina Glassman,D,75,18.38%
Representative in Congress 05,Kent,Jahana Hayes,D,333,81.62%
Treasurer,Kent,Shawn Wooden,D,193,52.16%
Treasurer,Kent,Dita Bhargava,D,177,47.84%
Attorney General,Kent,William Tong,D,223,58.84%
Attorney General,Kent,Paul R Doyle,D,35,9.23%
Attorney General,Kent,Chris Mattei,D,121,31.93%
Governor,Killingly,Ned Lamont,D,438,78.49%
Governor,Killingly,Joe Ganim,D,120,21.51%
Lieutenant Governor,Killingly,Susan Bysiewicz,D,388,68.67%
Lieutenant Governor,Killingly,Eva Bermudez Zimmerman,D,177,31.33%
Treasurer,Killingly,Shawn Wooden,D,314,57.19%
Treasurer,Killingly,Dita Bhargava,D,235,42.81%
Attorney General,Killingly,William Tong,D,304,55.58%
Attorney General,Killingly,Paul R Doyle,D,98,17.92%
Attorney General,Killingly,Chris Mattei,D,145,26.51%
Judge of Probate 27,Killingly,Andrea Truppa,D,436,75.43%
Judge of Probate 27,Killingly,Michael J Cartier,D,142,24.57%
Governor,Killingworth,Ned Lamont,D,394,90.57%
Governor,Killingworth,Joe Ganim,D,41,9.43%
Lieutenant Governor,Killingworth,Susan Bysiewicz,D,274,63.43%
Lieutenant Governor,Killingworth,Eva Bermudez Zimmerman,D,158,36.57%
Treasurer,Killingworth,Shawn Wooden,D,267,62.97%
Treasurer,Killingworth,Dita Bhargava,D,157,37.03%
Attorney General,Killingworth,William Tong,D,281,65.81%
Attorney General,Killingworth,Paul R Doyle,D,35,8.20%
Attorney General,Killingworth,Chris Mattei,D,111,26.00%
Governor,Lebanon,Ned Lamont,D,340,88.77%
Governor,Lebanon,Joe Ganim,D,43,11.23%
Lieutenant Governor,Lebanon,Susan Bysiewicz,D,212,56.23%
Lieutenant Governor,Lebanon,Eva Bermudez Zimmerman,D,165,43.77%
Treasurer,Lebanon,Shawn Wooden,D,195,52.99%
Treasurer,Lebanon,Dita Bhargava,D,173,47.01%
Attorney General,Lebanon,William Tong,D,203,54.86%
Attorney General,Lebanon,Paul R Doyle,D,59,15.95%
Attorney General,Lebanon,Chris Mattei,D,108,29.19%
Governor,Ledyard,Ned Lamont,D,615,87.73%
Governor,Ledyard,Joe Ganim,D,86,12.27%
Lieutenant Governor,Ledyard,Susan Bysiewicz,D,494,70.88%
Lieutenant Governor,Ledyard,Eva Bermudez Zimmerman,D,203,29.12%
Treasurer,Ledyard,Shawn Wooden,D,378,55.83%
Treasurer,Ledyard,Dita Bhargava,D,299,44.17%
Attorney General,Ledyard,William Tong,D,414,60.09%
Attorney General,Ledyard,Paul R Doyle,D,45,6.53%
Attorney General,Ledyard,Chris Mattei,D,230,33.38%
Governor,Lisbon,Ned Lamont,D,187,81.66%
Governor,Lisbon,Joe Ganim,D,42,18.34%
Lieutenant Governor,Lisbon,Susan Bysiewicz,D,163,71.49%
Lieutenant Governor,Lisbon,Eva Bermudez Zimmerman,D,65,28.51%
Treasurer,Lisbon,Shawn Wooden,D,118,52.91%
Treasurer,Lisbon,Dita Bhargava,D,105,47.09%
Attorney General,Lisbon,William Tong,D,137,59.83%
Attorney General,Lisbon,Paul R Doyle,D,21,9.17%
Attorney General,Lisbon,Chris Mattei,D,71,31.00%
Governor,Litchfield,Ned Lamont,D,589,88.04%
Governor,Litchfield,Joe Ganim,D,80,11.96%
Lieutenant Governor,Litchfield,Susan Bysiewicz,D,416,63.03%
Lieutenant Governor,Litchfield,Eva Bermudez Zimmerman,D,244,36.97%
Representative in Congress 05,Litchfield,Mary Messina Glassman,D,212,31.27%
Representative in Congress 05,Litchfield,Jahana Hayes,D,466,68.73%
Treasurer,Litchfield,Shawn Wooden,D,294,45.09%
Treasurer,Litchfield,Dita Bhargava,D,358,54.91%
Attorney General,Litchfield,William Tong,D,361,55.45%
Attorney General,Litchfield,Paul R Doyle,D,75,11.52%
Attorney General,Litchfield,Chris Mattei,D,215,33.03%
Governor,Lyme,Ned Lamont,D,258,94.16%
Governor,Lyme,Joe Ganim,D,16,5.84%
Lieutenant Governor,Lyme,Susan Bysiewicz,D,156,57.35%
Lieutenant Governor,Lyme,Eva Bermudez Zimmerman,D,116,42.65%
Treasurer,Lyme,Shawn Wooden,D,182,68.16%
Treasurer,Lyme,Dita Bhargava,D,85,31.84%
Attorney General,Lyme,William Tong,D,197,73.51%
Attorney General,Lyme,Paul R Doyle,D,24,8.96%
Attorney General,Lyme,Chris Mattei,D,47,17.54%
Governor,Madison,Ned Lamont,D,1137,90.17%
Governor,Madison,Joe Ganim,D,124,9.83%
Lieutenant Governor,Madison,Susan Bysiewicz,D,868,69.44%
Lieutenant Governor,Madison,Eva Bermudez Zimmerman,D,382,30.56%
Treasurer,Madison,Shawn Wooden,D,687,56.50%
Treasurer,Madison,Dita Bhargava,D,529,43.50%
Attorney General,Madison,William Tong,D,705,57.04%
Attorney General,Madison,Paul R Doyle,D,75,6.07%
Attorney General,Madison,Chris Mattei,D,456,36.89%
Governor,Manchester,Ned Lamont,D,3067,87.48%
Governor,Manchester,Joe Ganim,D,439,12.52%
Lieutenant Governor,Manchester,Susan Bysiewicz,D,2111,60.56%
Lieutenant Governor,Manchester,Eva Bermudez Zimmerman,D,1375,39.44%
Treasurer,Manchester,Shawn Wooden,D,1958,57.03%
Treasurer,Manchester,Dita Bhargava,D,1475,42.97%
Attorney General,Manchester,William Tong,D,1991,56.02%
Attorney General,Manchester,Paul R Doyle,D,585,16.46%
Attorney General,Manchester,Chris Mattei,D,978,27.52%
Governor,Mansfield,Ned Lamont,D,1432,94.02%
Governor,Mansfield,Joe Ganim,D,91,5.98%
Lieutenant Governor,Mansfield,Susan Bysiewicz,D,887,58.90%
Lieutenant Governor,Mansfield,Eva Bermudez Zimmerman,D,619,41.10%
Treasurer,Mansfield,Shawn Wooden,D,911,62.10%
Treasurer,Mansfield,Dita Bhargava,D,556,37.90%
Attorney General,Mansfield,William Tong,D,1068,72.70%
Attorney General,Mansfield,Paul R Doyle,D,124,8.44%
Attorney General,Mansfield,Chris Mattei,D,277,18.86%
Governor,Marlborough,Ned Lamont,D,399,90.89%
Governor,Marlborough,Joe Ganim,D,40,9.11%
Lieutenant Governor,Marlborough,Susan Bysiewicz,D,276,63.89%
Lieutenant Governor,Marlborough,Eva Bermudez Zimmerman,D,156,36.11%
Treasurer,Marlborough,Shawn Wooden,D,232,54.46%
Treasurer,Marlborough,Dita Bhargava,D,194,45.54%
Attorney General,Marlborough,William Tong,D,251,58.92%
Attorney General,Marlborough,Paul R Doyle,D,71,16.67%
Attorney General,Marlborough,Chris Mattei,D,104,24.41%
Governor,Meriden,Ned Lamont,D,2083,77.01%
Governor,Meriden,Joe Ganim,D,622,22.99%
Lieutenant Governor,Meriden,Susan Bysiewicz,D,1743,64.60%
Lieutenant Governor,Meriden,Eva Bermudez Zimmerman,D,955,35.40%
Representative in Congress 05,Meriden,Mary Messina Glassman,D,1032,38.70%
Representative in Congress 05,Meriden,Jahana Hayes,D,1635,61.30%
State Senator 13,Meriden,Mary Daugherty Abrams,D,1878,70.31%
State Senator 13,Meriden,Alex Tiktinsky,D,793,29.69%
Treasurer,Meriden,Shawn Wooden,D,1539,59.51%
Treasurer,Meriden,Dita Bhargava,D,1047,40.49%
Attorney General,Meriden,William Tong,D,1697,64.30%
Attorney General,Meriden,Paul R Doyle,D,439,16.64%
Attorney General,Meriden,Chris Mattei,D,503,19.06%
Governor,Middlebury,Ned Lamont,D,341,84.41%
Governor,Middlebury,Joe Ganim,D,63,15.59%
Lieutenant Governor,Middlebury,Susan Bysiewicz,D,272,67.33%
Lieutenant Governor,Middlebury,Eva Bermudez Zimmerman,D,132,32.67%
Representative in Congress 05,Middlebury,Mary Messina Glassman,D,139,33.66%
Representative in Congress 05,Middlebury,Jahana Hayes,D,274,66.34%
Treasurer,Middlebury,Shawn Wooden,D,236,59.60%
Treasurer,Middlebury,Dita Bhargava,D,160,40.40%
Attorney General,Middlebury,William Tong,D,226,56.64%
Attorney General,Middlebury,Paul R Doyle,D,78,19.55%
Attorney General,Middlebury,Chris Mattei,D,95,23.81%
Governor,Middlefield,Ned Lamont,D,337,89.15%
Governor,Middlefield,Joe Ganim,D,41,10.85%
Lieutenant Governor,Middlefield,Susan Bysiewicz,D,250,66.49%
Lieutenant Governor,Middlefield,Eva Bermudez Zimmerman,D,126,33.51%
State Senator 13,Middlefield,Mary Daugherty Abrams,D,308,82.35%
State Senator 13,Middlefield,Alex Tiktinsky,D,66,17.65%
Treasurer,Middlefield,Shawn Wooden,D,209,58.06%
Treasurer,Middlefield,Dita Bhargava,D,151,41.94%
Attorney General,Middlefield,William Tong,D,217,59.45%
Attorney General,Middlefield,Paul R Doyle,D,63,17.26%
Attorney General,Middlefield,Chris Mattei,D,85,23.29%
Governor,Middletown,Ned Lamont,D,3192,83.63%
Governor,Middletown,Joe Ganim,D,625,16.37%
Lieutenant Governor,Middletown,Susan Bysiewicz,D,2344,61.52%
Lieutenant Governor,Middletown,Eva Bermudez Zimmerman,D,1466,38.48%
State Senator 09,Middletown,"Antonio ""Tony"" Guerrera",D,600,24.77%
State Senator 09,Middletown,Matt Lesser,D,1822,75.23%
State Senator 13,Middletown,Mary Daugherty Abrams,D,972,72.11%
State Senator 13,Middletown,Alex Tiktinsky,D,376,27.89%
Treasurer,Middletown,Shawn Wooden,D,1944,53.32%
Treasurer,Middletown,Dita Bhargava,D,1702,46.68%
Attorney General,Middletown,William Tong,D,1645,43.29%
Attorney General,Middletown,Paul R Doyle,D,1390,36.58%
Attorney General,Middletown,Chris Mattei,D,765,20.13%
Governor,Milford,Ned Lamont,D,2206,78.53%
Governor,Milford,Joe Ganim,D,603,21.47%
Lieutenant Governor,Milford,Susan Bysiewicz,D,1809,65.14%
Lieutenant Governor,Milford,Eva Bermudez Zimmerman,D,968,34.86%
Treasurer,Milford,Shawn Wooden,D,1506,55.45%
Treasurer,Milford,Dita Bhargava,D,1210,44.55%
Attorney General,Milford,William Tong,D,1473,53.18%
Attorney General,Milford,Paul R Doyle,D,646,23.32%
Attorney General,Milford,Chris Mattei,D,651,23.50%
Governor,Monroe,Ned Lamont,D,675,84.69%
Governor,Monroe,Joe Ganim,D,122,15.31%
Lieutenant Governor,Monroe,Susan Bysiewicz,D,553,70.63%
Lieutenant Governor,Monroe,Eva Bermudez Zimmerman,D,230,29.37%
Treasurer,Monroe,Shawn Wooden,D,383,49.61%
Treasurer,Monroe,Dita Bhargava,D,389,50.39%
Attorney General,Monroe,William Tong,D,508,66.06%
Attorney General,Monroe,Paul R Doyle,D,83,10.79%
Attorney General,Monroe,Chris Mattei,D,178,23.15%
Governor,Montville,Ned Lamont,D,621,82.47%
Governor,Montville,Joe Ganim,D,132,17.53%
Lieutenant Governor,Montville,Susan Bysiewicz,D,509,68.60%
Lieutenant Governor,Montville,Eva Bermudez Zimmerman,D,233,31.40%
State Representative 38,Montville,Baird Welch-Collins,D,69,26.95%
State Representative 38,Montville,Nick Gauthier,D,56,21.88%
State Representative 38,Montville,Patrick Murphy,D,131,51.17%
Treasurer,Montville,Shawn Wooden,D,456,62.64%
Treasurer,Montville,Dita Bhargava,D,272,37.36%
Attorney General,Montville,William Tong,D,443,59.86%
Attorney General,Montville,Paul R Doyle,D,85,11.49%
Attorney General,Montville,Chris Mattei,D,212,28.65%
Governor,Morris,Ned Lamont,D,136,88.31%
Governor,Morris,Joe Ganim,D,18,11.69%
Lieutenant Governor,Morris,Susan Bysiewicz,D,99,65.56%
Lieutenant Governor,Morris,Eva Bermudez Zimmerman,D,52,34.44%
Representative in Congress 05,Morris,Mary Messina Glassman,D,41,26.11%
